m,n,F
1,行,目
4,4,-0.02934382127925744
4,4,-0.9230843875665065
4,4,-0.3255961387046392
4,4,-1.5389288631806934
4,4,-1.3626176414046343
4,4,-0.9310659667750701
4,4,-0.04408462005825722
4,4,-1.7518946043250343
4,4,-0.26968916337779497
4,4,-1.3482280614207456
4,4,-0.36072673500210156
4,4,-0.4237119924268253
4,4,-0.8468393000208915
4,4,-1.8547988686505377
4,4,-1.9782182545484075
4,4,-1.5215795251056272
4,4,-1.4388335037405846
4,4,-1.2584829336233425
4,4,-1.5144860478272304
2,行,目
4,4,-1.482124470854223
4,4,-0.42722952941006265
4,4,-2.117786147855741
4,4,-2.0840176607797822
4,4,-1.6135777803068687
4,4,-0.02124550329826671
4,4,-2.7660358973764585
4,4,-0.32735238076922685
4,4,-1.9362994934840738
4,4,-0.3948935992126489
4,4,-0.6160160679209654
4,4,-1.3823966443972031
4,4,-2.4323533816172076
4,4,-2.7232849668221744
4,4,-2.415979275113797
4,4,-1.7734356306191472
4,4,-2.0424585199792484
4,4,-2.2381563491306626
3,行,目
4,4,0.8630503963653002
4,4,-1.1908734467264603
4,4,-0.953520942038478
4,4,0.08268110659631889
4,4,1.6382138056001607
4,4,-1.8073140662747311
4,4,0.7702125208026733
4,4,-0.8911247737335214
4,4,0.2728251898790926
4,4,0.9402892371244687
4,4,0.21033407443183028
4,4,-1.6355440843938536
4,4,-1.9008270452974507
4,4,-1.3312012955846355
4,4,-1.0125858286957645
4,4,-0.7754302245173278
4,4,-1.212540819421816
4,行,目
4,4,-1.6380503101543378
4,4,-1.487053758007732
4,4,-0.9048327312458323
4,4,0.436990679676803
4,4,-2.0927998873147367
4,4,0.04378668600492633
4,4,-1.4160308878867491
4,4,-0.15001142593091882
4,4,-0.11006244856178266
4,4,-0.7511794341985683
4,4,-1.9975952878947467
4,4,-2.221804876164697
4,4,-1.7566756964193464
4,4,-1.4227798951824535
4,4,-1.3798175794397853
4,4,-1.6730146770451393
5,行,目
4,4,0.4505375829993119
4,4,1.3379694620315987
4,4,2.2304402382747854
4,4,-0.04520053155528431
4,4,1.5023371105587833
4,4,0.34392077816144845
4,4,0.8423966870434149
4,4,1.7502531217450445
4,4,1.3439762691369481
4,4,-0.5036407340230463
4,4,-0.5705732055468538
4,4,0.29216247075797985
4,4,-0.1361015345998952
4,4,0.7130797074534008
4,4,0.17394550812899895
6,行,目
4,4,1.1884983861441827
4,4,2.264215337294084
4,4,-0.6704331979468785
4,4,1.3178711069678326
4,4,-0.08258054363659775
4,4,0.6379469656110687
4,4,1.664956669402627
4,4,1.1682961632890612
4,4,-0.9702527362762582
4,4,-1.1174506674207394
4,4,-0.23654519606927793
4,4,-0.4855787470490908
4,4,0.30679763659465104
4,4,-0.31585227688195433
7,行,目
4,4,1.8472918640159712
4,4,-2.276218329192515
4,4,0.7847028197732121
4,4,-1.04571097964466
4,4,0.25726967643630694
4,4,1.047912874221684
4,4,0.19252011571711383
4,4,-1.774656829798666
4,4,-2.10547480146336
4,4,-1.718216348644982
4,4,-1.0852545883439186
4,4,-1.087792377062364
4,4,-1.4365944058036906
8,行,目
4,4,-3.0414175708549913
4,4,-0.3271379714527668
4,4,-2.062144219395482
4,4,-0.3923355669142932
4,4,-0.6527999822403641
4,4,-1.5383992758489724
4,4,-2.53397865063957
4,4,-2.8708509313576025
4,4,-2.6615095184596704
4,4,-1.822101333945336
4,4,-2.2688955086239972
4,4,-2.4051981317543683
9,行,目
4,4,1.8168821702056763
4,4,0.4879964943751498
4,4,0.9286165698231222
4,4,2.4382737738005003
4,4,2.0888400285505937
4,4,-0.5504508176950981
4,4,-0.6493522714322035
4,4,0.4776113312727704
4,4,-0.11981734906579708
4,4,1.1117650604470863
4,4,0.28106429642446945
10,行,目
4,4,-1.2847772837060858
4,4,-0.17094818850725652
4,4,-0.14246756121503562
4,4,-0.6728268769625376
4,4,-1.8548622372583257
4,4,-2.025326256241341
4,4,-1.5283887608203839
4,4,-1.3562613760189308
4,4,-1.1999783558107564
4,4,-1.49599337370333
11,行,目
4,4,0.6594285912688027
4,4,1.5288097013714286
4,4,1.061408495881085
4,4,-0.8431206326967283
4,4,-0.9554213338179616
4,4,-0.11424043770484828
4,4,-0.40854807583330555
4,4,0.3482816058029161
4,4,-0.2021181000307044
12,行,目
4,4,0.09793688431336077
4,4,-0.2081535180384648
4,4,-1.1448419357845014
4,4,-1.2016068828233226
4,4,-0.7456028914305116
4,4,-0.8567840928934741
4,4,-0.5311257940067435
4,4,-0.7765439737136404
13,行,目
4,4,-0.8080805543020371
4,4,-2.1123161141230726
4,4,-2.4068638125761197
4,4,-2.035171358969829
4,4,-1.4522998084978762
4,4,-1.5953089934629126
4,4,-1.8515738691589163
14,行,目
4,4,-1.7711479918331758
4,4,-2.068136800349133
4,4,-1.5970573936038075
4,4,-1.1137204892519508
4,4,-1.0369100827724
4,4,-1.4101325515715561
15,行,目
4,4,-0.017777550317127525
4,4,0.8484964313287583
4,4,0.286685456114873
4,4,1.2237932014337007
4,4,0.7065947517076276
16,行,目
4,4,0.9905665996066634
4,4,0.31973601269691687
4,4,1.4290548526280942
4,4,0.8107544881699388
17,行,目
4,4,-0.36693618839710607
4,4,0.6168114940261236
4,4,-0.12117536115346436
18,行,目
4,4,0.6687704387290994
4,4,0.2782348269552336
19,行,目
4,4,-0.6295288097842726
