-1.42175234744925,-6.4340902011636505,-4.668071245015555,-6.80951805700931
-4.351097796814131,-3.5678173726163505
-5.070235923119048,-4.38120343747197
-5.52321489632317,-3.7209248672254933
-4.840564928926412,-6.384216659982631
-6.949758987284571,-4.4374127706698125
-4.079002385417429,-9.53257222425515
-3.998901890498136,-4.240803453996616,-7.24645606633568
-2.9645693906859267,-3.6903469538883957
-8.431976738752322,-3.5347912169959783,-3.7130567209217133
-5.567545255307979,-3.6350274900346617,-4.756156847569908
-7.672105549153522,-8.491348690529254
-4.7173317274247974,-4.14091959539994
-2.445152892211348,-2.1091282586647524,-3.560059032412373,-4.4954980108555125
-3.976178465885697,-3.940621674865752,-5.424839418268761
-4.74798363345258,-4.228283948347795,-4.170448389156921
-3.1038037286955773,-3.6002362994644277,-2.832695781669777
-2.691376123431876,-1.6952244613004774,-4.35579845000441
-3.072933008551267,-3.390136734799934,-5.096447731721171
-4.85425486921169,-4.628921381197006,-3.351706723725893
